Comment,Description,Designator,Footprint,LibRef,Manufacturer 1,Manufacturer Part Number 1,Quantity,Supplier 1,Supplier Order Qty 1,Supplier Part Number 1
47,"±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200, High Voltage Thick Film","R5, R6, R24, R25",603,Chip Resistor,Rohm,KTR03EZPF47R0,4,Digi-Key,4,RHM47AYCT-ND
100k,"±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200, High Voltage Thick Film","R8, R9, R11, R12, R13, R16, R17, R23, R26",603,Chip Resistor,Rohm,KTR03EZPF1003,9,Digi-Key,9,RHM100KAYCT-ND
4.7k,"±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200, High Voltage Thick Film","R1, R4, R7, R10, R21, R22",603,Chip Resistor,Rohm,KTR03EZPF4701,6,Digi-Key,6,RHM4.7KAYCT-ND
1uf,1µF ±20% 50V Ceramic Capacitor X5R 0603 (1608 Metric),C10,603,Cap,Murata,GRT188R61H105ME13D,1,Digi-Key,1,490-12331-1-ND
10uF,10µF ±20% 25V Ceramic Capacitor X5R 0603 (1608 Metric),C4,603,Cap,Murata,GRT188R61E106ME13D,1,Digi-Key,1,490-12323-1-ND
10uF,10µF ±20% 50V Ceramic Capacitor X5R 1206 (3216 Metric),"C5, C7",1206,Cap,Murata,GRT31CR61H106ME01L,2,Digi-Key,2,490-12457-1-ND
22uF,22µF ±20% 25V Ceramic Capacitor X5R 1206 (3216 Metric),"C2, C12, C16, C17",1206,Cap,Murata,GRT31CR61E226ME01L,4,Digi-Key,4,490-12451-1-ND
330,"330 Ohms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200, High Voltage Thick Film","R2, R3, R18, R19, R20",603,Chip Resistor,Rohm,KTR03EZPF3300,5,Digi-Key,5,RHM330AYCT-ND
Varistor 26V,34.5V 80A Varistor 1 Circuit Surface Mount 0805 (2012 Metric),TVS1,Transfeed,Transfeed,Kyocera AVX,V2AF126C600Y2EDP,1,Digi-Key,1,478-10038-1-ND
OKI-78SR,5V DC/DC Converter (7805 replacement),U1,OKI-78SR,7805,Murata,OKI-78SR-5/1.5-W36H-C,1,Digi-Key,1,811-2692-ND
100uF,"Aluminum Electrolytic Capacitors Radial, Can - SMD 5000 Hrs @ 105°C",C3,Elec. Cap - G,Tantalum Cap_1,Panasonic ECG,EEE-HC1H101P,1,Digi-Key,1,P19732CT-ND
ATECC508A,Authentication Chip IC Networking and Communications 8-SOIC,U15,SOIC-8,ATECC508A,Microchip / Atmel,ATECC508A-SSHDA-T,1,Digi-Key,1,ATECC508A-SSHDA-TCT-ND
MCP2515-E/ML,CAN Controller CAN 2.0 SPI Interface 20-QFN (4x4),U14,QFN-ML20_M,MCP2515-E/ML,Microchip,MCP2515-E/ML,1,Digi-Key,1,MCP2515-E/ML-ND
0.1uF,"CAP CER 0.1UF 50V X7R 0603, CAP CER 0.1UF 50V 10% X7R 0603, CAP CER 0.1UF 50V 10% X7R 0603, CAP CER 0.1UF 50V X7R 0603, CAP CER 0.1UF 50V X7R 0603, CAP CER 0.1UF 50V 10% X7R 0603","C1, C6, C8, C9, C11, C15",603,Cap,Murata,GRM188R71H104KA93D,6,Digi-Key,6,490-1519-1-ND
18pF,CAP CER 18PF 50V 5% NP0 0603,"C13, C14",603,Cap,KEMET,C0603C180J5GAC-TU,2,Digi-Key,2,399-1052-1-ND
Wifi,"CONN HEADER FEMALE 6POS .1 GOLD""",WIFI,HDR1X6,Header 6,Sullins,PPPC061LFBN-RC,1,Digi-Key,1,S7039-ND
16MHz,CRYSTAL 16MHZ 18PF SMD,X1,XTAL 2 pad,Crystal Oscillator,TXC,7A-16.000MAAJ-T,1,Digi-Key,1,887-1086-1-ND
ACURA107-HF,Diode Schottky 1000V 1A Surface Mount DO-214AC (SMA),"D3, D5",SMA with A and K,Schottky Diode,Comchip,ACURA107-HF,2,Digi-Key,1,641-1884-1-ND
SN75HVD08DR,IC RS485 TXRX 3/5V 8-SOIC,U4,SOIC-SN8_N,SN75HVD12D (3.3v RS485),Texas Instruments,SN75HVD08DR,1,Digi-Key,1,296-37893-1-ND
74AHCT1G14,IC SCHMIT-TRIGG INV GATE SOT353,U3,SOT-353,74AHCT1G14 Inverter,Diodes,74AHCT1G14SE-7,1,Digi-Key,1,74AHCT1G14SE-7DICT-ND
ADG1634BCPZ-REEL7,IC SWITCH QUAD SPDT 20LFCSP,U6,ADI-CP-20-4_N,ADG1634BCPZ-REEL7,Analog Devices,ADG1634BCPZ-REEL7,1,Digi-Key,1,ADG1634BCPZ-REEL7CT-ND
Green,LED GREEN DIFFUSED 0805 SMD,D1,0805 Polarized,LED - SMD,Osram Opto,LGR971-KN-1-0-20-R18,1,Digi-Key,1,475-1410-1-ND
Red,LED RED DIFFUSED 0805 SMD,D2,0805 Polarized,LED - SMD,Osram Opto,LSR976-NR-1,1,Digi-Key,1,475-1278-1-ND
Yellow,LED YELLOW DIFFUSED 0805 SMD,D4,0805 Polarized,LED - SMD,Osram Opto,Q62702P5177,1,Digi-Key,1,475-2560-1-ND
MCP2003A-E/SN,"LIN J2602 Transceiver, 8-Pin SOIC, Extended Temperature, Tape and Reel",U7,SOIC-SN8_N,MCP2003AT-E/SN,Microchip,MCP2003A-E/SN,1,Digi-Key,1,MCP2003A-E/SN-ND
NCP1117LPST33,Linear Voltage Regulator IC Positive Fixed Output 3.3V 1A SOT-223,U13,SOT-223,NCP1117 2.5V,ON Semiconductor,NCP1117LPST33T3G,1,Digi-Key,1,NCP1117LPST33T3GOSCT-ND
CR1225,"Lithium Battery Non-Rechargeable (Primary) 3V Coin, 12.5mm",Batt1,Battery Clip - CR1225,CR2032 Battery Holder,Linx,BAT-HLD-012-SMT,1,Digi-Key,1,BAT-HLD-012-SMT-ND
MCP2558,Microchip CAN FD Transceiver with Silent Mode,"U5, U8, U9",TDFN,MCP2558FD,Microchip,,3,Arrow,3,MCP2558FDT-H/MNY
MOCD207R2M,Optoisolator Transistor Output 2500Vrms 2 Channel 8-SO Tall,U12,SOIC-8,Optoisolator - Dual,Fairchild Semiconductor,MOCD207R2-M,1,Digi-Key,1,MOCD207R2MCT-ND
PTC RESTTBLE 0.75A,PTC RESTTBLE 0.75A 33V CHIP 1812,PTC1,1812,PTC,Bel,0ZCG0075BF2B,1,Digi-Key,1,507-1765-1-ND
Vehicle Interface Cable Connector,"Receptacle Assembly, 15 Position, Right Angle",J1,DSUB1.385-2H15,D Connector 15,Amphenol FCI,D15S33E4GV00LF,1,Digi-Key,1,609-1498-ND
NCV7356D1R2G,"Single Wire CAN Transceiver, 5 to 27 V, 8-Pin SOIC, Pb-Free, Tube",U2,ONSC-SOIC-8-751-07_V,NCV7356D1G,ON Semiconductor,NCV7356D1R2G,1,Digi-Key,1,NCV7356D1R2GOSCT-ND
ATML-ATWINC1500-MR210PA-28,SMARTCONNECT ATWINC1500B-MU-T MO,U11,ATML-ATWINC1500-MR210PA-28_V,ATML-ATWINC1500-MR210PA-28,Microchip,ATWINC1510-MR210PB1140,1,Digi-Key,1,ATWINC1510-MR210PB1140-ND
SMA6J,TVS DIODE 20VWM 36.8VC SMA,Z1,SMA,Zener - Bidirectional,MCC,SMA6J24CA-TP,1,Digi-Key,1,SMA6J24CA-TPMSCT-ND
UX60SC-MB-5S8,"USB - mini B USB 2.0 Receptacle Connector 5 Position Surface Mount, Right Angle; Through Hole",USB1,USB Mini UX60S,USB-Rugged,Hirose,UX60SC-MB-5S8,1,Digi-Key,1,H11589CT-ND
